agg_trade_id,timestamp_utc,timestamp_ms,symbol,price,quantity,side,is_buyer_maker
3246065618,2026-04-11T09:17:25.788000,1775899045788,BTCUSDT,72734.2,0.043,BUY,False
3246065619,2026-04-11T09:17:25.789000,1775899045789,BTCUSDT,72734.3,1.503,BUY,False
3246065620,2026-04-11T09:17:25.791000,1775899045791,BTCUSDT,72734.4,1.507,BUY,False
3246065621,2026-04-11T09:17:25.791000,1775899045791,BTCUSDT,72734.5,0.001,BUY,False
3246065622,2026-04-11T09:17:25.791000,1775899045791,BTCUSDT,72734.6,0.002,BUY,False
3246065623,2026-04-11T09:17:25.791000,1775899045791,BTCUSDT,72734.8,0.005,BUY,False
3246065624,2026-04-11T09:17:25.791000,1775899045791,BTCUSDT,72734.9,0.002,BUY,False
3246065625,2026-04-11T09:17:25.791000,1775899045791,BTCUSDT,72735.0,1.502,BUY,False
3246065626,2026-04-11T09:17:25.791000,1775899045791,BTCUSDT,72735.1,0.001,BUY,False
3246065627,2026-04-11T09:17:25.791000,1775899045791,BTCUSDT,72735.2,0.002,BUY,False
3246065628,2026-04-11T09:17:25.791000,1775899045791,BTCUSDT,72735.3,0.001,BUY,False
3246065629,2026-04-11T09:17:25.791000,1775899045791,BTCUSDT,72735.4,0.003,BUY,False
3246065630,2026-04-11T09:17:25.791000,1775899045791,BTCUSDT,72735.7,0.001,BUY,False
3246065631,2026-04-11T09:17:25.791000,1775899045791,BTCUSDT,72736.0,0.002,BUY,False
3246065632,2026-04-11T09:17:25.791000,1775899045791,BTCUSDT,72736.1,0.001,BUY,False
3246065633,2026-04-11T09:17:25.791000,1775899045791,BTCUSDT,72736.2,0.002,BUY,False
3246065634,2026-04-11T09:17:25.791000,1775899045791,BTCUSDT,72736.3,0.987,BUY,False
3246065635,2026-04-11T09:17:25.791000,1775899045791,BTCUSDT,72736.4,0.004,BUY,False
3246065636,2026-04-11T09:17:25.791000,1775899045791,BTCUSDT,72736.5,0.002,BUY,False
3246065637,2026-04-11T09:17:25.791000,1775899045791,BTCUSDT,72736.6,0.003,BUY,False
3246065638,2026-04-11T09:17:25.791000,1775899045791,BTCUSDT,72736.9,0.003,BUY,False
