agg_trade_id,timestamp_utc,timestamp_ms,symbol,price,quantity,side,is_buyer_maker
2907605856,2026-04-11T13:11:54.724000,1775913114724,ETHUSDT,2233.64,8.885,BUY,False
2907605857,2026-04-11T13:11:54.840000,1775913114840,ETHUSDT,2233.64,11.74,BUY,False
2907605858,2026-04-11T13:11:55.014000,1775913115014,ETHUSDT,2233.63,0.067,SELL,True
2907605859,2026-04-11T13:11:55.052000,1775913115052,ETHUSDT,2233.64,0.111,BUY,False
2907605860,2026-04-11T13:11:55.091000,1775913115091,ETHUSDT,2233.63,0.12,SELL,True
2907605861,2026-04-11T13:11:55.109000,1775913115109,ETHUSDT,2233.64,2.126,BUY,False
2907605862,2026-04-11T13:11:55.214000,1775913115214,ETHUSDT,2233.63,1.654,SELL,True
2907605863,2026-04-11T13:11:55.232000,1775913115232,ETHUSDT,2233.64,0.157,BUY,False
2907605864,2026-04-11T13:11:55.296000,1775913115296,ETHUSDT,2233.63,24.051,SELL,True
2907605865,2026-04-11T13:11:55.406000,1775913115406,ETHUSDT,2233.64,0.5,BUY,False
2907605866,2026-04-11T13:11:55.634000,1775913115634,ETHUSDT,2233.64,0.46,BUY,False
2907605867,2026-04-11T13:11:55.634000,1775913115634,ETHUSDT,2233.65,0.01,BUY,False
2907605868,2026-04-11T13:11:55.634000,1775913115634,ETHUSDT,2233.66,0.022,BUY,False
2907605869,2026-04-11T13:11:55.634000,1775913115634,ETHUSDT,2233.68,0.07,BUY,False
2907605870,2026-04-11T13:11:55.637000,1775913115637,ETHUSDT,2233.69,1.45,BUY,False
2907605871,2026-04-11T13:11:55.776000,1775913115776,ETHUSDT,2233.69,0.754,BUY,False
2907605872,2026-04-11T13:11:55.931000,1775913115931,ETHUSDT,2233.68,1.012,SELL,True
2907605873,2026-04-11T13:11:55.967000,1775913115967,ETHUSDT,2233.69,0.862,BUY,False
2907605874,2026-04-11T13:11:56.080000,1775913116080,ETHUSDT,2233.68,0.54,SELL,True
2907605875,2026-04-11T13:11:56.306000,1775913116306,ETHUSDT,2233.68,4.339,SELL,True
2907605876,2026-04-11T13:11:56.542000,1775913116542,ETHUSDT,2233.69,5.0,BUY,False
2907605877,2026-04-11T13:11:56.821000,1775913116821,ETHUSDT,2233.68,0.707,SELL,True
2907605878,2026-04-11T13:11:57.006000,1775913117006,ETHUSDT,2233.68,0.3,SELL,True
2907605879,2026-04-11T13:11:57.338000,1775913117338,ETHUSDT,2233.68,1.0,SELL,True
2907605880,2026-04-11T13:11:57.367000,1775913117367,ETHUSDT,2233.69,2.218,BUY,False
2907605881,2026-04-11T13:11:57.536000,1775913117536,ETHUSDT,2233.69,0.608,BUY,False
2907605882,2026-04-11T13:11:57.538000,1775913117538,ETHUSDT,2233.7,0.068,BUY,False
2907605883,2026-04-11T13:11:57.538000,1775913117538,ETHUSDT,2233.72,0.012,BUY,False
2907605884,2026-04-11T13:11:57.538000,1775913117538,ETHUSDT,2233.73,0.001,BUY,False
2907605885,2026-04-11T13:11:57.538000,1775913117538,ETHUSDT,2233.74,0.02,BUY,False
2907605886,2026-04-11T13:11:57.538000,1775913117538,ETHUSDT,2233.75,0.022,BUY,False
2907605887,2026-04-11T13:11:57.538000,1775913117538,ETHUSDT,2233.76,0.011,BUY,False
2907605888,2026-04-11T13:11:57.538000,1775913117538,ETHUSDT,2233.77,0.019,BUY,False
2907605889,2026-04-11T13:11:57.538000,1775913117538,ETHUSDT,2233.78,0.011,BUY,False
2907605890,2026-04-11T13:11:57.538000,1775913117538,ETHUSDT,2233.79,0.01,BUY,False
2907605891,2026-04-11T13:11:57.538000,1775913117538,ETHUSDT,2233.8,0.011,BUY,False
2907605892,2026-04-11T13:11:57.538000,1775913117538,ETHUSDT,2233.81,0.012,BUY,False
2907605893,2026-04-11T13:11:57.538000,1775913117538,ETHUSDT,2233.82,0.013,BUY,False
2907605894,2026-04-11T13:11:57.538000,1775913117538,ETHUSDT,2233.7,0.018,BUY,False
2907605895,2026-04-11T13:11:57.541000,1775913117541,ETHUSDT,2233.82,0.06,BUY,False
2907605896,2026-04-11T13:11:57.583000,1775913117583,ETHUSDT,2233.81,4.832,SELL,True
2907605897,2026-04-11T13:11:57.703000,1775913117703,ETHUSDT,2233.82,2.39,BUY,False
2907605898,2026-04-11T13:11:57.866000,1775913117866,ETHUSDT,2233.82,0.018,BUY,False
2907605899,2026-04-11T13:11:57.951000,1775913117951,ETHUSDT,2233.81,0.227,SELL,True
2907605900,2026-04-11T13:11:58.084000,1775913118084,ETHUSDT,2233.82,0.155,BUY,False
2907605901,2026-04-11T13:11:58.121000,1775913118121,ETHUSDT,2233.81,0.5,SELL,True
2907605902,2026-04-11T13:11:58.157000,1775913118157,ETHUSDT,2233.82,2.792,BUY,False
2907605903,2026-04-11T13:11:58.350000,1775913118350,ETHUSDT,2233.81,4.0,SELL,True
2907605904,2026-04-11T13:11:58.383000,1775913118383,ETHUSDT,2233.82,10.0,BUY,False
2907605905,2026-04-11T13:11:58.568000,1775913118568,ETHUSDT,2233.81,0.223,SELL,True
2907605906,2026-04-11T13:11:58.685000,1775913118685,ETHUSDT,2233.81,0.591,SELL,True
2907605907,2026-04-11T13:11:58.783000,1775913118783,ETHUSDT,2233.82,24.099,BUY,False
2907605908,2026-04-11T13:11:58.783000,1775913118783,ETHUSDT,2233.83,0.009,BUY,False
2907605909,2026-04-11T13:11:58.783000,1775913118783,ETHUSDT,2233.84,0.035,BUY,False
2907605910,2026-04-11T13:11:58.783000,1775913118783,ETHUSDT,2233.85,0.022,BUY,False
2907605911,2026-04-11T13:11:58.783000,1775913118783,ETHUSDT,2233.86,0.001,BUY,False
2907605912,2026-04-11T13:11:58.783000,1775913118783,ETHUSDT,2233.87,0.019,BUY,False
